code,competence-sous-competence
90-025,Cimetières et pompes funèbres
90-11,"Police, sécurité, justice"
90-12,Incendie et secours
90-13,Hygiène et salubrité publique
90-18,"Sécurité / Autres interventions protection des personnes, biens"
90-21,Enseignement du premier degré
90-211,Enseignement du premier degré > Ecoles maternelles
90-212,Enseignement du premier degré > Ecoles primaires
90-213,Enseignement du premier degré > Classes regroupées
90-22,Enseignement du second degré
90-221,Enseignement du second degré > Collèges
90-222,Enseignement du second degré > Lycées publics
90-223,Enseignement du second degré > Lycées privés
90-23,Enseignement supérieur
90-24,Cités scolaires
90-25,Formation professionnelle
90-251,Formation professionnelle > Insertion sociale et professionnelle
90-252,Formation professionnelle > Formation professionnalisante personnes
90-253,Formation professionnelle > Formation certifiante des personnes
90-254,Formation professionnelle > Formation des actifs occupés
90-255,Formation professionnelle > Rémunération des stagiaires
90-256,Formation professionnelle > Autres
90-26,Apprentissage
90-27,Formation sanitaire et sociale
90-28,Autres services périscolaires et annexes
90-281,Autres services périscolaires et annexes > Hébergement et restauration scolaires
90-282,Autres services périscolaires et annexes > Sport scolaire
90-283,Autres services périscolaires et annexes > Médecine scolaire
90-284,Autres services périscolaires et annexes > Classes de découverte
90-288,Autres services périscolaires et annexes > Autre service annexe de l'enseignement
90-29,"Enseignement, formation professionnelle et apprentissage / Sécurité"
90-31,Culture
90-311,"Culture > Activités artistiques, actions et manifestations culturelles"
90-312,Culture > Patrimoine
90-313,"Culture > Bibliothèques, médiathèques"
90-314,Culture > Musées
90-315,Culture > Services d'archives
90-316,Culture > Théâtres et spectacles vivants
90-317,Culture > Cinémas et autres salles de spectacles
90-318,Culture > Archéologie préventive
90-32,Sports (autres que scolaires)
90-321,"Sports (autres que scolaires) > Salles de sport, gymnases"
90-322,Sports (autres que scolaires) > Stades
90-323,Sports (autres que scolaires) > Piscines
90-324,Sports (autres que scolaires) > Centres de formation sportifs
90-325,Sports (autres que scolaires) > Autres équipements sportifs ou loisirs
90-326,Sports (autres que scolaires) > Manifestations sportives
90-327,Sports (autres que scolaires) > Soutien aux sportifs
90-33,Jeunesse et loisirs
90-331,Jeunesse et loisirs > Centres de loisirs
90-332,Jeunesse et loisirs > Colonies de vacances
90-338,Jeunesse et loisirs > Autres activités pour les jeunes
90-34,Vie sociale et citoyenne
90-341,Vie sociale et citoyenne > Egalité entre les femmes et les hommes
90-348,Vie sociale et citoyenne > Autres
90-39,"Culture, vie sociale, jeunesse, sports et loisir / Sécurité"
90-41,Santé
90-411,Santé > Protection Maternelle et Infantile et planification familiale
90-412,Santé > Prévention et éducation pour la santé
90-413,Santé > Sécurité alimentaire
90-414,Santé > Dispensaires et autres établissements sanitaires
90-418,Santé > Autres actions
90-42,Action sociale
90-421,Action sociale > Famille et enfance
90-422,Action sociale > Petite enfance
90-423,Action sociale > Personnes âgées
90-424,Action sociale > Personnes en difficulté
90-425,Action sociale > Personnes handicapées
90-428,Action sociale > Autres interventions sociales
90-51,Aménagement des territoires et habitat / Aménagement et services urbains
90-511,Aménagement et services urbains > Espaces verts urbains
90-512,Aménagement et services urbains > Eclairage public
90-513,Aménagement et services urbains > Art public
90-514,Aménagement et services urbains > Electrification
90-515,Aménagement et services urbains > Opérations d'aménagement
90-518,Aménagement et services urbains > Autres actions d'aménagement urbain
90-52,Aménagement des territoires et habitat / Politique de la ville
90-53,Aménagement des territoires et habitat / Agglomérations et villes moyennes
90-54,Aménagement des territoires et habitat / Espace rural et autres espaces de développement
90-55,Habitat (Logement)
90-551,Habitat (Logement) > Parc privé de la collectivité
90-552,Habitat (Logement) > Aide au secteur locatif
90-553,Habitat (Logement) > Aide à l'accession à la propriété
90-554,Habitat (Logement) > Aire d'accueil des gens du voyage
90-555,Habitat (Logement) > Logement social
90-56,Aménagement des territoires et habitat / Actions en faveur du littoral
90-57,Aménagement des territoires et habitat / Technologies de l'information et de la communication
90-58,Aménagement des territoires et habitat / Autres actions
90-581,Aménagement des territoires et habitat / Autres actions > Réserves Foncières
90-588,Aménagement des territoires et habitat / Autres actions > Autres actions d'aménagement
90-59,Aménagement des territoires et habitat / Sécurité
90-61,Action économique / Interventions économiques transversales
90-62,Action économique / Structure d'animation et de développement économique
90-63,Action économique / Actions sectorielles
90-631,"Action économique / Actions sectorielles > Agriculture, pêche et agro-alimentaire"
90-632,"Action économique / Actions sectorielles > Industrie, commerce et artisanat"
90-633,Action économique / Actions sectorielles > Développement touristique
90-64,"Action économique / Rayonnement, attractivité du territoire"
90-65,"Action économique / Insertion économique et économie sociale, solidaire"
90-66,Action économique / Maintien et développement des services publics
90-67,Action économique / Recherche et innovation
90-68,Action économique / Autres actions
90-71,Environnement / Actions transversales
90-72,Actions déchets et propreté urbaine
90-721,Actions déchets et propreté urbaine > Collecte et traitement des déchets
90-722,Actions déchets et propreté urbaine > Propreté urbaine
90-73,Actions en matière de gestion des eaux
90-731,Actions en matière de gestion des eaux > Politique de l'eau
90-732,Actions en matière de gestion des eaux > Eau potable
90-733,Actions en matière de gestion des eaux > Assainissement
90-734,Actions en matière de gestion des eaux > Eaux pluviales
90-735,Actions en matière de gestion des eaux > Lutte contre les inondations
90-74,Politique de l'air
90-75,Politique de l'énergie
90-751,Politique de l'énergie > Réseaux de chaleur et de froid
90-752,Politique de l'énergie > Energie photovoltaïque
90-753,Politique de l'énergie > Energie éolienne
90-754,Politique de l'énergie > Energie hydraulique
90-758,Politique de l'énergie > Autres actions
90-76,"Environnement / Préservation patrimoine naturel,risques technologiques"
90-77,Environnement infrastructures transports
90-78,Environnement / Autres actions
90-81,Transports scolaires
90-82,Transports publics de voyageurs
90-821,Transports publics de voyageurs > Transport sur route
90-822,Transports publics de voyageurs > Transport ferroviaire
90-823,Transports publics de voyageurs > Transport fluvial
90-824,Transports publics de voyageurs > Transport maritime
90-825,Transports publics de voyageurs > Transport aérien
90-828,Transports publics de voyageurs > Autres transports
90-83,Transports de marchandises
90-831,Transports de marchandises > Fret routier
90-832,Transports de marchandises > Fret ferroviaire
90-833,Transports de marchandises > Fret fluvial
90-834,Transports de marchandises > Fret maritime
90-835,Transports de marchandises > Fret aérien
90-838,Transports de marchandises > Autres transports
90-84,Voirie
90-841,Voirie > Voirie nationale
90-842,Voirie > Voirie régionale
90-843,Voirie > Voirie départementale
90-844,Voirie > Voirie métropolitaine
90-845,Voirie > Voirie communale
90-846,Voirie > Viabilité hivernale et aléas climatiques
90-847,Voirie > Equipements de voirie
90-848,Voirie > Parkings
90-849,Voirie > Sécurité routière
90-85,Transports / Infrastructures
90-851,"Transports / Infrastructures > Gares, autres infrastructures routières"
90-852,Transports / Infrastructures > Gares et autres infrastructures ferroviaires
90-853,"Transports / Infrastructures > Haltes, autres infrastructures fluviales"
90-854,"Transports / Infrastructures > Ports, autres infrastructures portuaires"
90-855,Transports / Infrastructures > Aéroports et autres infrastructures
90-86,Transports / Liaisons multimodales
90-87,Circulations douces
90-89,Transports / Sécurité
