source,categorie
DSIL,État & opérateurs
DETR,État & opérateurs
FNADT,État & opérateurs
DSID,État & opérateurs
EPF,État & opérateurs
Fonds Vert,État & opérateurs
Crédits plan de relance,État & opérateurs
DPVille,État & opérateurs
DGOM,État & opérateurs
DRAC,État & opérateurs
Autres crédits ministériels,État & opérateurs
Programmes budgétaires,État & opérateurs
AFD,État & opérateurs
Agence de l'eau,État & opérateurs
Agence France Locale,État & opérateurs
Agence nationale du sport,État & opérateurs
ANRU,État & opérateurs
ANAH,État & opérateurs
CAUE,État & opérateurs
CMA/CCI,État & opérateurs
ANCT,État & opérateurs
CEREMA,État & opérateurs
ADEME,État & opérateurs
OFB,État & opérateurs
Banque des territoires,État & opérateurs
Contrat d'économies d'énergie,État & opérateurs
Autres financements État ou opérateurs,État & opérateurs
Commune,Collectivités locales
Intercommunalité,Collectivités locales
Conseil départemental,Collectivités locales
DDT,Collectivités locales
Agence technique départementale,Collectivités locales
Agglomération,Collectivités locales
Conseil régional,Collectivités locales
PNR,Collectivités locales
Europe,Autres financements publics
ARS,Autres financements publics
ANS,Autres financements publics
CAF,Autres financements publics
MSA,Autres financements publics
Fonds de restructuration des locaux d'activité,Autres financements publics
Fonds de soutien au commerce rural,Autres financements publics
Fonds pour l'entretien du monument au mort,Autres financements publics
PETR,Autres financements publics
Autre financement public,Autres financements publics
Association,Autres partenaires
"Banque, assurance, mutuelle",Autres partenaires
Bailleur social,Autres partenaires
Enedis,Autres partenaires
Fédération,Autres partenaires
Fondation,Autres partenaires
La Poste,Autres partenaires
SNCF,Autres partenaires
Société coopérative de production,Autres partenaires
Privé,Autres partenaires
Syndicats mixte,Autres partenaires
Autre partenaire,Autres partenaires
Autofinancement,Autofinancement
